title,engine,gearbox,body,wheel,condition,creation_date,views_cnt,owners,pts,accident,customs,transmission,color,mileage,year,real_owner,price,dealer
BMW 5 серии 520d V (E60/E61) Рестайлинг,2.0 л / 163 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,143 (47 сегодня),2 владельца,Оригинал,0,Растаможен,задний,серый,216 100 км,2007,0,985 000 ₽,0
BMW 3 серии 320i VI (F3x),2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,6 ноября,51 (51 сегодня),2 владельца,Оригинал,0,Растаможен,задний,серый,72 650 км,2014,0,1 675 000 ₽,0
BMW 5 серии 523i VI (F10/F11/F07),2.5 л / 204 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,28 октября,3901 (130 сегодня),3 или более,Оригинал,0,Растаможен,задний,синий,202 000 км,2011,0,1 155 000 ₽,1
BMW X5 50i II (E70) Рестайлинг,4.4 л / 407 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,27 октября,7785 (231 сегодня),3 или более,Оригинал,1,Растаможен,полный,чёрный,145 000 км,2012,0,1 499 000 ₽,1
BMW X5 3.0i I (E53) Рестайлинг,3.0 л / 231 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,1 ноября,1733 (151 сегодня),3 или более,Оригинал,0,Растаможен,полный,чёрный,219 000 км,2005,0,799 000 ₽,1
BMW 5 серии 520i VI (F10/F11/F07),2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,24 октября,2234 (91 сегодня),2 владельца,Оригинал,1,Растаможен,задний,коричневый,135 995 км,2013,0,1 187 000 ₽,1
BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,701 (70 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,16 198 км,2020,0,5 635 000 ₽,1
BMW 5 серии 530d xDrive VI (F10/F11/F07),3.0 л / 258 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,20 октября,463 (23 сегодня),2 владельца,Оригинал,0,Растаможен,полный,чёрный,142 508 км,2013,0,2 027 000 ₽,1
BMW 3 серии 320d xDrive VII (G2x),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,17 октября,1964 (92 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,46 641 км,2020,0,3 378 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,26 октября,866 (47 сегодня),2 владельца,Оригинал,1,Растаможен,полный,синий,23 012 км,2021,0,4 349 000 ₽,1
BMW 3 серии 320d xDrive VI (F3x) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,17 октября,1199 (52 сегодня),3 или более,Оригинал,1,Растаможен,полный,чёрный,70 000 км,2016,0,2 096 000 ₽,1
BMW X5 30d IV (G05),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,460 (178 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,76 000 км,2019,0,5 500 000 ₽,0
BMW 5 серии 520i VI (F10/F11/F07) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,2 ноября,476 (24 сегодня),3 или более,Оригинал,1,Растаможен,задний,синий,174 000 км,2013,0,1 399 000 ₽,1
BMW 7 серии 730i II (E32),3.0 л / 197 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,4 ноября,1142 (117 сегодня),3 или более,Оригинал,0,Растаможен,задний,зелёный,250 000 км,1990,0,185 000 ₽,0
BMW X5 40i IV (G05),3.0 л / 340 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,26 октября,621 (54 сегодня),2 владельца,Оригинал,0,Растаможен,полный,коричневый,39 051 км,2020,0,6 877 000 ₽,1
BMW 3 серии 320i xDrive VI (F3x) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,17 октября,771 (36 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,125 797 км,2018,0,1 974 000 ₽,1
BMW 3 серии 320i VI (F3x),2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,2 сентября,4198 (32 сегодня),3 или более,Оригинал,1,Растаможен,задний,чёрный,141 644 км,2014,0,1 440 000 ₽,1
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,26 октября,336 (6 сегодня),2 владельца,Оригинал,0,Растаможен,полный,белый,23 250 км,2018,0,4 137 000 ₽,1
BMW 5 серии 528i xDrive VI (F10/F11/F07) Рестайлинг,2.0 л / 245 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,17 октября,1661 (34 сегодня),3 или более,Дубликат,1,Растаможен,полный,чёрный,151 835 км,2014,0,1 550 000 ₽,1
BMW X5 40i IV (G05),3.0 л / 340 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,3 ноября,2738 (348 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,1 000 км,2021,0,7 100 000 ₽,0
BMW 3 серии 320d xDrive VI (F3x) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,12 октября,2796 (110 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,77 800 км,2017,0,1 860 000 ₽,0
BMW X5 30d IV (G05),3.0 л / 265 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,3 ноября,1520 (172 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,32 000 км,2019,0,5 390 000 ₽,0
BMW 5 серии 520d xDrive VII (G30/G31),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,17 октября,3889 (520 сегодня),2 владельца,Оригинал,1,Растаможен,полный,зелёный,67 700 км,2019,0,3 100 000 ₽,0
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,424 (57 сегодня),3 или более,Оригинал,1,Растаможен,полный,белый,58 761 км,2018,0,3 597 000 ₽,1
BMW X5 25d III (F15),3.0 л / 218 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,2 ноября,651 (59 сегодня),3 или более,Оригинал,0,Растаможен,полный,чёрный,150 000 км,2017,0,2 767 000 ₽,1
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 октября,2566 (136 сегодня),3 или более,Оригинал,1,Растаможен,полный,серый,77 000 км,2018,0,3 350 000 ₽,0
BMW 5 серии 528i xDrive VI (F10/F11/F07) Рестайлинг,2.0 л / 245 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,28 сентября,4648 (96 сегодня),3 или более,Дубликат,1,Растаможен,полный,белый,96 765 км,2014,0,1 333 000 ₽,0
BMW 7 серии Long 730Ld xDrive VI (G11/G12),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,4 ноября,188 (35 сегодня),2 владельца,Оригинал,0,Растаможен,полный,чёрный,80 500 км,2017,0,3 850 000 ₽,1
BMW 5 серии 530d VII (G30/G31),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,17 сентября,3140 (24 сегодня),1 владелец,Оригинал,0,Растаможен,задний,серый,66 890 км,2019,0,3 812 355 ₽,1
BMW X1 20d I (E84) Рестайлинг,2.0 л / 184 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,2 ноября,132 (14 сегодня),2 владельца,Оригинал,0,Растаможен,полный,коричневый,111 563 км,2013,0,1 470 000 ₽,1
BMW 2 серии Gran Coupe 218i F44,1.5 л / 140 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,18 октября,411 (27 сегодня),1 владелец,Оригинал,0,Растаможен,передний,чёрный,54 485 км,2020,0,2 462 000 ₽,1
BMW 5 серии 530d V (E60/E61),3.0 л / 218 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,484 (141 сегодня),3 или более,Дубликат,1,Растаможен,задний,чёрный,345 000 км,2004,1,795 000 ₽,0
